ds,hibrido_y_pred_full
2025-03-09,10784.353451452605
2025-03-16,12170.300941270703
2025-03-23,12662.036851909714
2025-03-30,11368.050150166482
2025-04-06,10208.461343513916
2025-04-13,11209.59816191045
2025-04-20,13626.161545086117
2025-04-27,14664.892122410924
2025-05-04,12868.715094915482
2025-05-11,9839.965176509686
2025-05-18,8232.145126022759
2025-05-25,8730.337422426208
2025-06-01,9810.097754858547
2025-06-08,10206.734213262736
2025-06-15,10517.609987392443
2025-06-22,11840.280125289677
2025-06-29,13653.902502677513
2025-07-06,14278.2117130799
2025-07-13,13519.816140366433
2025-07-20,13629.168620938965
2025-07-27,16544.291621164542
2025-08-03,20582.477856872094
2025-08-10,21318.405184471656
2025-08-17,16583.56519560687
2025-08-24,9934.25745948691
2025-08-31,7893.597059919885
2025-09-07,13333.951082124417
2025-09-14,22238.899498447547
2025-09-21,27611.232573603207
2025-09-28,26276.9867188117
2025-10-05,21204.93155781303
2025-10-12,17355.165527455098
2025-10-19,16413.820710759534
2025-10-26,16363.746183928588
2025-11-02,15440.100247334278
2025-11-09,14824.686152906585
2025-11-16,16695.96296468117
2025-11-23,20636.007635961523
2025-11-30,23536.88671341921
2025-12-07,23399.136665500817
2025-12-14,22081.656084481892
2025-12-21,23172.197689401648
2025-12-28,27379.22064655875
2026-01-04,31214.18776455524
2026-01-11,30814.92497343312
2026-01-18,26388.519944914817
2026-01-25,21923.98561515389
2026-02-01,20593.504013954633
2026-02-08,21435.386489507164
2026-02-15,21133.362866234518
2026-02-22,18368.444549832595
