ds,hibrido_y_pred_full
2025-03-09,10959.97479542617
2025-03-16,12347.247675364784
2025-03-23,12839.226169088406
2025-03-30,11545.795037065305
2025-04-06,10388.321937359424
2025-04-13,11392.645340496267
2025-04-20,13812.01754092837
2025-04-27,14852.842255861226
2025-05-04,13059.389923205812
2025-05-11,10035.23966812695
2025-05-18,8433.187810859692
2025-05-25,8936.277673452463
2025-06-01,10019.203103208343
2025-06-08,10418.85995804064
2025-06-15,10734.878557531636
2025-06-22,12064.87878395678
2025-06-29,13885.3558577333
2025-07-06,14513.306220882876
2025-07-13,13755.4609293461
2025-07-20,13865.136729908112
2025-07-27,16783.096175279963
2025-08-03,20826.713331729283
2025-08-10,21568.81197382786
2025-08-17,16839.282340526028
2025-08-24,10194.599752641836
2025-08-31,8158.966457862181
2025-09-07,13605.076644049133
2025-09-14,22515.77419297874
2025-09-21,27893.10842908473
2025-09-28,26563.21684562922
2025-10-05,21495.387528496987
2025-10-12,17649.800968718493
2025-10-19,16712.2521046963
2025-10-26,16665.59293600615
2025-11-02,15745.540114651567
2025-11-09,15134.235746090111
2025-11-16,17009.64018909421
2025-11-23,20953.12620567056
2025-11-30,23856.809519490325
2025-12-07,23722.333334805673
2025-12-14,22409.126198168055
2025-12-21,23503.59549040272
2025-12-28,27712.029629344986
2026-01-04,31545.385800237862
2026-01-11,31143.713176719924
2026-01-18,26717.27186417755
2026-01-25,22256.14802103061
2026-02-01,20930.586756819073
2026-02-08,21776.13986874849
2026-02-15,21475.88218847115
2026-02-22,18712.52039320764
