Fecha,Prediccion_LSTM
2025-03-09,8245.176
2025-03-16,8052.613
2025-03-23,7953.021
2025-03-30,7832.094
2025-04-06,7530.216
2025-04-13,7429.295
2025-04-20,6976.1543
2025-04-27,6511.173
2025-05-04,6042.3027
2025-05-11,5791.06
2025-05-18,5528.1685
2025-05-25,5356.4463
2025-06-01,5422.9844
2025-06-08,5384.3555
2025-06-15,5345.59
2025-06-22,5306.5786
2025-06-29,5268.5806
2025-07-06,5234.644
2025-07-13,5202.5903
2025-07-20,5177.255
2025-07-27,5158.638
2025-08-03,5146.512
2025-08-10,5137.7783
2025-08-17,5132.4453
2025-08-24,5129.184
2025-08-31,5124.8965
2025-09-07,5121.0874
2025-09-14,5117.8
2025-09-21,5115.054
2025-09-28,5112.845
2025-10-05,5111.1143
2025-10-12,5109.8247
2025-10-19,5108.88
2025-10-26,5108.1797
2025-11-02,5107.6367
2025-11-09,5107.2026
2025-11-16,5106.837
2025-11-23,5106.5127
2025-11-30,5106.247
2025-12-07,5106.034
2025-12-14,5105.866
2025-12-21,5105.737
2025-12-28,5105.635
2026-01-04,5105.5566
2026-01-11,5105.496
2026-01-18,5105.4487
2026-01-25,5105.409
2026-02-01,5105.3765
2026-02-08,5105.351
2026-02-15,5105.3286
2026-02-22,5105.3105
2026-03-01,5105.2983
